Biography,DateOfBirth,FirstName,Nationality,Role,SecondName
,NULL,Eslam,Egypt,Cinematographer,Kamal
,NULL,Tamer,Egypt,Editor,Gouda
,NULL,Mohamed,null,null,El Sokary
,NULL,Muhammad,Egypt,Actor,Salah
, 1 August 1985,MOHAMMED,Egypt,SoundEngineer,ELSOKARY
,NULL,Gasser,Egypt,null,El Deeb
,NULL,Sayed,Egypt,Director,Fadl
,NULL,Sewar,Tunisia,Actor,
,NULL,Sofia,Egypt,Actor,
,NULL,Eman,null,Director,Diab
She is Hassnaa Seif El Din Al Kelany granddaughter of the Jordanian ex minister of housing and construction. Her first appearance on screen was playing the role of actress Youssra’s sister in the series “Embarrassing moments” in 2007. She also acted in the movie “ Feminine,24 October 1976,Hasnaa,Egypt,Actor,Saif  Aldeen
,NULL,سامح,Egypt,SoundEngineer,نبيل
,NULL,Aziza,null,Actor,Fadel
,NULL,سمير,Egypt,SoundEngineer,نبيل
, 3 January 1987,Ahmed,Egypt,MusicComposer,El Mougy
,NULL,Shady,Egypt,MusicComposer,El Garf
,NULL,Mariam,null,Actor,EL Mahllawy
,NULL,Yasser,Egypt,Writer,Shafiey
,NULL,Lilette,Egypt,Actor,Fahmy
,NULL,Dina,Egypt,Director,Abdel Salam
,NULL,Mohamed,Egypt,SoundEngineer,El Fouly
,NULL,Mohamed,Egypt,Editor,Hassan
‘Afaf Ahmed ‘Aly Shoaib was born in Kafr al-Dawar and moved to the capital to study at the Higher Institute for Theatrical Arts in 1972. Her talents drew attention after she took part in several television series. Thereafter she transitioned to cinema after earning experience on, 2 November 1948,Afaf,Egypt,Actor,Shoaib
,26 February 1969,Ayman,Egypt,Actor,Shahin
, 5 January 1989,Mohamed,Egypt,Director,Shahin
,22 October 1978,Yasmine,Saudi Arabia,Actor,Al-Jilany
,NULL,radwa,Egypt,Actor,elabady
, 1 July 1979,Dana,Jordan,Actor,Hamdan
,NULL,أحمد,Egypt,Actor,شيحة
,NULL,أمنية,Egypt,Actor,ناصر
,27 February 1937,Samir,Egypt,Director,Al Asfory
"The famous dancer"" Hayatem-Sohair Hassan"" was born on the 22nd of July 1950 in Alexandria. She was married to actor Mohamed Khairy then they got divorced.
She started her career as a supporting actress in cinema and on stage. In 1997 she produced one of her plays,[مضاعفات سرطان القولون]",22 July 1949,Hayatem,Egypt,Actor,
,NULL,Khaled,Egypt,Actor,Najeeb
,NULL,الحسن,Egypt,Actor,مصطفى
,NULL,Ahmed,Egypt,Actor,osman
,NULL,تامر,Egypt,Actor,سيد
,NULL,مجدى,Egypt,Actor,حمزة
,NULL,مروان,Egypt,Actor,حسام الدين
,NULL,حسن,Egypt,Actor,النحلة
,NULL,حسن,Egypt,Actor,عبدالرازق
[جلطة في المخ], 4 March 2015,Mohamed,Egypt,Actor,Abdel Razek
,NULL,علي,Egypt,Actor,محمد
,NULL,Alaa,Egypt,Actor,Arafa
,NULL,Hala,Egypt,Actor,Hamshim
,NULL,مالك,Egypt,Actor,العلي
,24 November 1994,Nada,Egypt,Actor,Samir Fakih
,NULL,Mohamed,Egypt,Actor,Samy
,NULL,Youssef,Egypt,Actor,Hussain
,NULL,حسن,Egypt,Actor,محمد
,NULL,كريم,Egypt,Actor,أبو الصالحين
,NULL,رامي,Egypt,Actor,العسال
,NULL,حنين,Egypt,Actor,محمد حسن
, 7 August 1986,Magdy,Egypt,Actor,Ali
"Amr’s parents are the (performers) Hassan Youssef and Shams Al Baroudy.
His first acting role was in the film “Shareaa 18” where he achieved moderate success which paved the way for future roles.",19 August 1980,Omar,Egypt,Actor,Hassan Yousuf
"He fell in love with acting even before being an actor, and worked for 11 years as a TV presenter in various movie channels, and on Arab Radio and Television.
He never asked for help in regards to being introduced to the field of cinema. Until his friend director Wael Ihsan",22 September 1972,Karim,Egypt,Actor,Kojok
,NULL,Ahmad,Egypt,Actor,Faheem
,NULL,Zayed,null,MusicComposer,Adel
, 1 January 1977,Amir,Egypt,Actor,Shahen
,NULL,إسلام,Egypt,SoundEngineer,عبدالسلام
, 3 May 1964,Hamdy,Egypt,Actor,Nada
"Fathi is a bit of a rebel and a dreamer. He has succeeded in securing celebrity status for himself within the short span of a few years despite the fact that he does not place great value on being famous nor on assuming leading roles in performances. 
His journey as an artist",21 August 1971,Fathy,Egypt,Actor,Abdul Wahab
Tamer Abdelmoneaim is an Egyptian actor and screenwriter. He was born in Cairo in 1973. He graduated at the High Cinema Institute of Cairo from the screen writing department. He started working as an actor through minor roles in films like “Edhak Elsoora Tetlaa Helwa” (Smile For,12 July 1973,Tamer,Egypt,Actor,Abdelmonem
,NULL,إسلام,Egypt,Producer,حنفي
,NULL,Ahmed,Egypt,Director,Omar
,NULL,المتحدين,Egypt,Producer,للإنتاج الفني والإعلامي
,NULL,Sameh,Egypt,Actor,Othman
,25 January 1963,Magdy,Egypt,Producer,Nour
,NULL,Mohamed,Egypt,Actor,Zalabya
,NULL,Eagle,Lebanon,Producer,Films
"He is a Lebanese producer who owns the “Cedars Art Production Company”  in Lebanon which he established in 1955. He started off producing joint Lebanese Egyptian movies then went on to produce work for the television. His company now has offices in Egypt, Syria and Dubai",NULL,Sadiq,Lebanon,Producer,Al-Sabah
, 1 April 1983,Amr,Egypt,Actor,Zaki
"Reham Hagag was born in Milano, Italy in 1986 to Egyptian parents, and she spent most of her life abroad, where she studied mass communication and worked in the marketing field for some time. Upon her return to Egypt, she started an acting career with her role in the film",22 September 1986,Reham,Egypt,Actor,Haggag
,22 August 1984,Omar,Egypt,Actor,Khorshed 
"Youssef usually protrays powerful and villainous characters in his performances. He has assumed several minor roles in productions but (the filmmaker) Nadia Al Guindy has assigned him greater roles in her pictures. 
Youssef also participated in several television series.",16 July 1945,Youssef,Egypt,Actor,Fawzy
"Ahmed is a young Egyptian actor. His father, Salah Elsaadany, provided him with his first opportunity to act alongside him in a television series entitled ""A Man from the Globalization Era."" Ahmed proved successful as an actor, but was restricted to television roles as",16 July 1979,Ahmed,Egypt,Actor,Salah Al-Saadany
,NULL,Ebram,Egypt,Director,Nashaat
,NULL,عمرو,Egypt,Cinematographer,سلام
,NULL,hashem,Egypt,Producer,abd allah
,NULL,Mohamed,null,Actor,Kassem
,NULL,محمد,Egypt,Actor,ميسرة
,NULL,Nasser,Egypt,Actor,Saqr
,NULL,tarek,Egypt,Producer,abo  el fatouh
,NULL,Ahmad,Egypt,Actor,Salem
,11 May 1972,Tarek,Egypt,Actor,El Sheikh
,NULL,عماد,Egypt,Cinematographer,عبدالقادر
,11 January 1961,Hassan,Egypt,MusicComposer,Donia
,NULL,Ramy,Egypt,Actor,Nader
[ازمة قلبية],21 March 2021,Radwa,Egypt,Actor,Abo Shady
,NULL,Al,Egypt,Distributor,Arabia Cinema
,10 September 1987,Hoba,Egypt,Actor,
, 3 October 1974,Mahmoud,Egypt,Actor,Ezzat
,NULL,Hani,Egypt,Actor,Hassan El Asmar
,NULL,حسناء,Egypt,Actor,
"Born in Cairo in 1989, Omaima Talaat Zakaria started her acting career working in television. She has starred in several TV series ",20 October 1989,Umaima,Egypt,Actor,Talaat Zakaria
,NULL,Youssef,Egypt,Actor,Wael
,25 November 1988,Hassan,Egypt,Actor,Elsayyad
"Mazhar Abol Naga is an Egyptian actor who was born in Egypt in 1940. At first he worked in the textile industry in Alexandria. In 1969, he appeared in the play “Sayedaty el Gamila”, which was the launch of his acting career. In the 1970s, he worked on numerous cinematic movies,[مشاكل فى عضلة القلب، أدت إلى مشاكل فى الكلى]",12 July 1940,Mazhar,Egypt,Actor,Abol Naga
,NULL,أحمد,Egypt,Actor,مرزا
,NULL,,Egypt,Actor,هدى أحمد
,NULL,شهد,Egypt,Actor,
,NULL,Said,Egypt,Actor,El Hawa
,19 March 1979,Ahmad,Egypt,Actor,Refaat
,NULL,Ahmed,Egypt,Actor,El Shohary
,NULL,Ayman,Egypt,Actor,Koshk
Enas (entered the world of acting through taking part in television commercials). She soon performed alongside the great actor Mahmoud Yasin in the series (“Al Asiyan”). Soon afterwards she began her movie career and became an (striking) figure in the (Egyptian silver screen). ,25 December 1978,Inas,Tunisia,Actor,El Naggar
"Khaled Abol Naga is a versatile Egyptian actor, model, TV host, producer and director. He was born in Cairo in YEAR, and began his career in films at the tender age of 12. He has degrees from both Ain Shams University and the American University in Cairo in communications. He", 2 November 1966,Khaled,Egypt,Actor,Abol Naga
,NULL,آية,Egypt,Actor,سعيد
,NULL,احمد,Egypt,Actor,الشبراوي
,NULL,MMX,Egypt,Producer,Post Prodution
,NULL,أحمد,Egypt,Actor,همام
,NULL,Mohamed,null,SoundEngineer,Saeed Alasrany
,NULL,Hani,Egypt,Actor,Maher
,NULL,حسام,Egypt,Actor,عبد الحليم
,19 April 1982,Mahmoud,Egypt,Actor,Mabrook
,NULL,Mohamed,Egypt,Editor,Mamdouh Ibrahem
, 6 November 1983,Tamer,Egypt,Actor,Nabil
,26 March 1986,Hasan,Egypt,Cinematographer,Amin 
,NULL,أسماء,Egypt,Actor,زين
,10 August 1983,Ahmed,Egypt,Producer,Kreasha
,NULL,كونجا,Egypt,Actor,
,NULL,محمد,Egypt,Actor,غزال
,NULL,Mohammad,Egypt,Actor,Yaseen
,NULL,Nabil,Egypt,Actor,NourAlddin
,NULL,باسم,Egypt,Actor,علي
,NULL,محمد,Egypt,Actor,صادق
Attef is an amateur Egyptian actor who appeared in the title “Heliopolis”. He originally worked in dubbing.,NULL,Atef,Egypt,Actor,Youssef
,NULL,Magdi,Egypt,Actor,Saad
,NULL,محمود,Egypt,Actor,مخيمر
,NULL,محمد,Egypt,Actor,السادات
,NULL,Rozana,Egypt,Actor,Omar
,NULL,أحمد,Egypt,Actor,رمضان
,NULL,Omar,Egypt,Actor,Kamel
,NULL,أحمد,Egypt,Actor,ظريف
,NULL,ياسر,Egypt,Actor,جمعة
,26 August 1984,Shady,Egypt,Actor,Asaad
,NULL,محمود,Egypt,Actor,النحاس
"Sayed Mostafa is an Egyptian actor, who was born in 1955. He started his career as a silent extra in the seventies of last century, and went on gradually to pick up roles with few dialogue lines in both film and television. He hasn't appeared as a lead in any of the",20 October 1955,Sayed,Egypt,Actor,Mustafa
,NULL,Shakira,Egypt,Actor,Fatin
,NULL,Ahmed,Egypt,Actor,Saad (Mesho)
"Youssef El Husseiny is an Egyptian television presenter. He was born in 1975, and studied economics at the 6th of October University. Following his graduation, he worked as a presenter in the Egyptian television's satellite channel for almost ten years. He then went on to",20 February 1975,Youssef,Egypt,Other,El Husseiny
, 6 December 1937,Helmi,Egypt,MusicComposer,Bakr
,NULL,Othman,Egypt,Actor,Shukri Salim
,22 December 1946,Hanaa,Egypt,Actor,El Shorbagy
,NULL,Ahmed,Egypt,Actor,Abdel Fattah
,NULL,إسلام,Egypt,Actor,محمد
,NULL,Muhammad,Egypt,Actor,Ibrahim
,NULL,Hossam,Egypt,Actor,Hassan
, 5 February 1984,أحمد,Egypt,Actor,صابر
, 3 December 1981,فادي,Egypt,Writer,نور
Kinda A’loush is a rising Syrian actress. She received an award for her role in the television drama “Hidou Nisbee” (“Relative Silence”) and thereafter progressed to a cinema role where she performed alongside Shereef Arafeh in “Wilad al-A’am” (“Cousins”).,27 March 1982,Kinda,Syria,Actor,Alloush
,NULL,Ahmed,Egypt,Actor,Al-Meligy
,NULL,إسلام,Egypt,Actor,صلاح
,NULL,Mahmoud,Egypt,Actor,Turk
,NULL,Ibrahim,Egypt,Actor,Hassan
,NULL,Mohammed,Egypt,Actor,Mokhtar
,NULL,Mohamed,Egypt,Actor,Saeed
,31 May 1978,Usama,Egypt,Writer,Hossam El Din
,NULL,Nour,Libya,Actor,El Kadeiki
,NULL,كريم,Egypt,Actor,حسن
,NULL,Nada,Egypt,Actor,Bahgat
,18 March 1993,Nermin,Saudi Arabia,Actor,Mohsen
,14 May 1990,Khaled,Egypt,MusicComposer,Al Kammar
,NULL,بسنت,Egypt,ArtDirector,الهواري
,NULL,رغدة,Egypt,Editor,عصام حسني
"Ibrahim Issa is an Egyptian journalist and television presenter. He started his career in journalism while studying mass communication at the University of Cairo. He had a long history of disputes with the Hosni Mubarak's ousted regime, which ended in a reconciliation before", 1 November 1965,Ibrahim,Egypt,Other,Issa
,NULL,Rania,Egypt,Editor,El-Montaser bellah
,NULL,طارق,Egypt,MakeupArtist,مصطفى
"Ahmad ‘Ali Hassan Salaama is an Egyptian actor who graduated from the High Institute of Dramatic Arts. He has started as a child to play small roles in TV and radio series. He is known for playing the roles of the rebellion teen, junior brother and later the role of the academic",10 May 1960,Ahmed,Egypt,Actor,Salama
,NULL,Mina,Egypt,Producer,Adly
,NULL,Ahmed,Egypt,Director,Hamdi
,NULL,خالد,Egypt,Producer,السبكي
,NULL,Hussein,Egypt,Director,Al-Hadi
,NULL,محمد,Egypt,Actor,ممدوح
, 3 June 1985,Saeed,Egypt,Director,Rayad
,10 January 2011,Hana,Egypt,Actor,Zahran
"Mohamed graduated from (the directing division of the Institute of Cinema) in 2008. He has so far worked as a directing assistant in the production of five cinematic productions and six television series.
Among the (best known) directors that he has worked with are Edrees and",NULL,Muhammad,Egypt,Director,Jamal Al Adl
,NULL,Amr,Egypt,Actor,Ramadan
,NULL,جمال,Egypt,Actor,زيدان
,27 July 1972,Hala,Egypt,Actor,Ibrahim
, 8 July 1958,عزت,Egypt,Actor,زين
,NULL,محمود,Egypt,Actor,عبدالرازق
,25 September 1984,Bahaa,Egypt,Actor,Elkhateeb
,25 October 1992,Weaam,Egypt,Actor,Magdy
,NULL,Rania,Egypt,Actor,Al-Badawy
,NULL,Azza,Egypt,Actor,Elsayed
,NULL,Gina,Egypt,Actor,Selim
Mahmoud Abd Al Moghny’s love for acting was evident from high school. After his graduation he enrolled in (the Institute of Theatrical Arts). He did this despite warnings from (those around him) that the entrance examinations are difficult and that (agency) is usually required,10 June 1979,Mahmoud,Egypt,Actor,Abdelmoghni
"Farida Said Al-Nasr is an Egyptian actress who was born in the Agouza area of Cairo. She began her acting career when she was discovered by director Hossam Al-Din Mostafa and artist George Sidhom, who included her in the “Tholathy Adwa’a El Masrah” (The Theatre Lights Trio). Her",10 September 1959,Farida,Egypt,Actor,Saif Al-Nasr
,14 April 1986,Muhammad,Egypt,Actor,Adel
Amina Khalil was born in Cairo on the 26th of October 1988. Her uncle is the famous Jazz musician Yehia Khalil. She studied acting at the American University in Cairo. She graduated in 2009 and travelled to the United States where she studied at the Lee Strasberg Theatre and Film,26 October 1988,Amina,Egypt,Actor,Khalil
"Born in Cairo. He achieved his degree from the high institute of cinema majoring in directing.He worked in the radio in 1969 then in 1970 he worked in the theater where he was part of the play "" The Minister's wife"" He later on produced alot of plays for theater", 1 November 1959,Mohsen,Egypt,Actor,Mohie Eldein
,NULL,Gamal,Egypt,Cinematographer,El Boushy
,15 March 1988,Khaled,Egypt,GraphicDesigner,El Masry
"Nelly Mohamed was born in Alexandria to an Egyptian father and a Russian mother. She graduated from the Ballet institute at the Art’s Academy and thereafter pursued higher studies. Nelly Karim began dancing ballet at the Opera in 1991. In 1999, Nelly starred in the Ramadan trivia",18 December 1974,Nelly,Egypt,Actor,Karim
,NULL,Madi,Egypt,MusicComposer,
, 7 April 2017,Magdy,Egypt,Casting,Abd El Rahman
,NULL,Mostafa,Egypt,Cinematographer,Fahmi
,14 October 1982,Mostafa,Egypt,Writer,Sakr
,NULL,Yahya,Egypt,ArtDirector,Allam
,NULL,طه,Egypt,MakeupArtist,عبدالوهاب
,NULL,Mohamed,Egypt,MusicComposer,Shafik
,NULL,Said,Egypt,CostumeDesigner,Ramzy
,NULL,Ashraf,Egypt,Actor,Amin
"Hamaada Helaal is an Egyptian singer with a unique style, his success in singing lead him to become a cinema actor in a number of light comedies.",20 March 1980,Hamada,Egypt,Other,Helal
"Hisham E’issawy was born in Egypt but moved to the United States in 1990. Whilst residing in the United States Hisham enrolled in the film faculty at Columbia College, Chicago. His first short film, “The Interrogation” (2002), earned an award for most creative short film at the",NULL,Hesham,Egypt,Director,Issawi
,NULL,Abbas,Egypt,ArtDirector,Saber
,NULL,Sabry,null,Producer,Mahmoud
,31 July 1987,Ahmed,Egypt,Director,Elekiaby
,NULL,أحمد,Egypt,Actor,ياسر  
,NULL,Amal,Egypt,Writer,Afifi
"Seif El Aswany graduated from American University in Cairo with a degree in engineering and communications. He also explored his passion for theatre at school. He started acting in university theatre productions, and after graduation joined a number of independent theatre",15 September 1986,Seif,Egypt,Actor,El Aswany
,30 March 1998,Eyad,Egypt,Actor,Dawood
,30 January 1987,Belal,Egypt,Actor,Ibrahim
,NULL,رشدي,Egypt,Actor,
,NULL,Jana,Egypt,Actor,Darwish
,NULL,Amal,Egypt,Actor,Sedik
,19 December 1981,Ahmed,Egypt,Writer,Fawzi Saleh
,NULL,محمد,Egypt,Actor,شهبندر
,15 March 1988,Ahmed,Egypt,Director,Sameh
,NULL,Ahlam,Egypt,Actor,Saeed
,NULL,Azouz,Egypt,Actor,Adel
,NULL,محمد,Egypt,Actor,دهشان
,29 July 1969,Emad,Egypt,Actor,Ghorab
,NULL,Mahran,Egypt,Actor,Al Sewaisi
, 3 June 1943,Abdelaziz,Egypt,Actor,Makhyoun
,NULL,Ahmed,Egypt,SoundEngineer,Samir
, 1 December 1988,Ramez,Egypt,Actor,Amir
"May Selim is an Egyptian (musician) with Jordanian roots. Her sister is the actress Mais Hamdan. 
May has achieved a great measure of success as a musician and thus was chosen by Ahmed El Sekka to perform a leading role (alongside) him the film “Al Dealer”.", 6 November 1983,Mai,Jordan,Actor,Selim
,NULL,Mohamed,Egypt,Actor,Outaka
, 7 September 1988,Mustafa,Egypt,Actor,Omar
,NULL,Mamdouh,Egypt,Actor,Abdel Khaleq
,NULL,أحمد,Egypt,Actor,خالد سابق
"Egyptian actor, Ahmed Fouad Selim was born in Al Sharqia governorate in 1957. Selim graduated from the High Institute for Theatrical Arts in 1978 and began his career in theatre. He has appeared in many plays including “El Soa’eda Wasalu” (The Upper Egyptians Arrived; 1989). Rega", 6 February 1957,Ahmed,Egypt,Actor,Fouad Selim
,NULL,Maya,Egypt,Actor,Fares
,NULL,مصطفى,Egypt,Actor,عمر
,NULL,جيلان,Egypt,Actor,صالح
,NULL,عبدالرحمن,Egypt,Actor,محمد
,NULL,Nour,Egypt,Actor,Hamza
,NULL,Hazzim,Egypt,Actor,Abdel Kadir	
,NULL,Ahmed,Egypt,Actor,El Masry
,NULL,هاجر,Egypt,Editor,حمدي
"Nada Moussa is an Egyptian actress. Sheb started her career through the television series “Wanis wa Ayamoh” (Wanis and his Days) in 2010. She then starred in the series “Maa Sabq Al Esrar” (Premeditated) alongside Ghada Abdel Raziq, “Dahsha” and “Khatawat Alshaytan” (The", 8 August 1982,Nada,Egypt,Actor,Moussa
,NULL,ايمن,Egypt,Producer,الشاهد
,NULL,Sharif,Egypt,MakeupArtist,Hilal
,NULL,Zain,Egypt,Producer,El Kurdy
,NULL,مصطفى,Egypt,ArtDirector,رنجو
,NULL,حسن,Egypt,ArtDirector,الشحات
"Mahmoud El Bezawy is an Egyptian actor and screenwriter. He wrote and collaborated in the writing of several television series, including “Al Adham”, “Lahazat Harega” (Critical Moments), and the highly controversial series “Al Rayyan”. He appeared in supporting roles in numerous",25 September 1963,Mahmoud,Egypt,Actor,Al-Bezzawy
"Akram Hosny is a radio and Television presenter. He started his a career at Nogoum FM radio station. His first television appearance was in “The 25th Hour News” program where he presented the comic character of “Sayed Aby Hafiza.” He satirically criticized the social, political",10 September 1974,Akram,Egypt,Actor,Hosny
,NULL,عدنان,Egypt,ArtDirector,شريف
,NULL,أحمد,Egypt,Actor,الحناوي
,NULL,احمد,Egypt,ArtDirector,شحات
,NULL,أحمد,Egypt,ArtDirector,عباس
"Egyptian actor Mohamed Emam was born on December 16, 1984 and graduated from the American University in Cairo. He first began his career in the arts as a child when he starred alongside his father Adel Emam in the film “Hanafi El Abha” (The Magnificent Hanafi) in 1990. In 2003 he",16 September 1984,Mohamed,Egypt,Actor,Emam
"Yasmine Sabry is a young Egyptian actress who began her acting career in 2013 when she appeared in the religious program “Khatawat El Shaytan” (The Devil’s Steps) with the young preacher Moez Masoud. Afterwards, she joined the cast of the TV series “Gabel El Helal” (El Helal",21 January 1988,Yasmine,Egypt,Actor,Sabri
,NULL,Dina,Egypt,Actor,Mohsen
,15 January 1986,mahmoud,Egypt,Director,zahran
,NULL,Amjad,Egypt,Producer,Sabry
,NULL,Ahmed,Egypt,Editor,fawzy
,NULL,IProductions,Egypt,Producer,
,NULL,Hani,Egypt,Producer,Osama
,NULL,وليد,Egypt,Actor,رفاعي
"Haady al-Baagoury in an Egyptian director born to an artistic family; his father Gameel is a producer and journalist, his brother Saameh is a scriptwriter and his maternal aunt is superstar Zizi al-Badraawy. Haady started his career as an executive producer, later on; he directed",NULL,Hady,Egypt,Director,Al Bagouri
,17 December 1985,Basma,Egypt,Actor,Yasser
,NULL,رضا,Egypt,Actor,فرج
,NULL,Julia,Tunisia,Actor,Shawashy (Julia Chaouachi)
,NULL,Aya,Egypt,Actor,samaha
,NULL,عمر,Egypt,Actor,مجدي
,NULL,محمد,Egypt,Actor,حسام
,NULL,nehad,Egypt,Editor,samy
,NULL,Mostafa,Egypt,Writer,Hamdy
,NULL,لارا,Egypt,Actor,علي
,NULL,Sally,Egypt,Actor,Matar
,NULL,Shady,Jordan,Actor,Salah
,NULL,قدري,Egypt,Actor,عمر
,NULL,Menna,Egypt,Actor,Badr
, 3 January 1989,Nada,Egypt,Actor,Adel
,10 August 1969,Magdy,Egypt,Actor,Edris
,15 April 1978,Mohamed,Egypt,Actor,Nagaty
,NULL,Marwa,Egypt,Casting,Gebreil
,NULL,Rehab,Egypt,Actor,Arafa
,24 March 1986,Ali,Egypt,Actor,Al Tayeb
"Egyptian Actress, She was born in Cairo in 1985, After Working Several Years as a model, she decided to start her Acting Career in 2010 With TV-Series (Special Screening) and later Participated in Several Movies, ",15 September 1985,Yasmin,Egypt,Actor,Raeis
"Dina El Sherbiny is an Egyptian actress. She started as a TV host for the program “Shababeek” on Dream satellite channel, but her growing admiration to acting made her join the Marwa Gebril acting school, where she studied for a year. She then auditioned for the TV show “Ard",17 March 1985,Dina,Egypt,Actor,El Sherbiny
,NULL,Rafik,Egypt,Director,Makram
,25 October 1987,Ahmad,Egypt,Director,Al Bendary
,NULL,khaled,Egypt,ArtDirector,nagey
,NULL,Feisal,Egypt,Writer,Abdul Samad
,NULL,محمد,Egypt,SoundEngineer,فوزي
, 3 July 1985,Mai,Egypt,CostumeDesigner,Galal
,NULL,Ehab,Egypt,Producer,El Sergany
,24 May 1995,Mohamed,Egypt,Cinematographer,Khaled Maher
,NULL,عمر,Egypt,Cinematographer,فتحي
, 5 April 1974,Mahmoud,Egypt,Actor,Abduldayem
,NULL,Bassem,Egypt,Actor,Tabana
, 9 April 1975,Mohamed,Egypt,Producer,Zaazaa
,NULL,سيد,Egypt,Actor,شعبان
,NULL,كريم,Egypt,Actor,رشدي
, 5 August 1990,Ahmad,Egypt,Actor,Farghali
,NULL,Safy,Egypt,Actor,
,NULL,Omar,Egypt,Actor,Mohamed Nour
,NULL,أميره,Egypt,Actor,كمال
[سكتة قلبية],11 March 1945,Mohamed,Egypt,Actor,Metwally
,NULL,ياسمين,Egypt,Actor,عبدالعال
"Ahmed Helmy was born in Banha. He graduated from the Higher Institute of Theatrical Arts. He moved to Cairo to pursue a diverse career including interior design and media production. He later on settled on the media path, working as a host for multiple TV programs mainly aired on",18 November 1969,Ahmed,Egypt,Actor,Helmy
,NULL,Osama,Egypt,Actor,Abdullah
Dorra is a Tunisian actress. She earned her degree in political science in Tunis. Dorra made her way into the acting arena by joining a theater group. Her first performance was in a play titled “Magnoun” (“Insane”) which  was directed by Tawfiq Al Gibally. Thereafter Dorra,13 January 1980,Dorra,Tunisia,Actor,
"Egyptian actor Hamdy El Sakhawy was born in 1955. Directors have often cast him in roles as a foreigner, taking advantage of his European appearance. He is best known for his television acting, including such works ,[ازمة قلبية]", 1 July 1955,Hamdy,Egypt,Actor,El Sakhawy
,NULL,محمد,Egypt,Actor,صبري
,NULL,Ashraf,Egypt,null,El Ashmawi
,26 December 1966,Mohamed,Egypt,Cinematographer,Shafiq
,NULL,Yassin,Egypt,Actor,Amir
"Ahmed El Gendy began his career as an actor where he participated in the film “Wahed min al Nas” (“One of the people”), a title which starred Kareem A’bd Al A’zeez and Muna Shalaby. Ahmed also worked as an assistant director in that same production following his graduation from",15 January 1980,Ahmed,Egypt,Director,El Gendy
,29 November 1962,Adel,Egypt,ArtDirector,El Maghraby
,NULL,MelodyStars,null,Producer,
,NULL,Jihan,Morocco,Actor,Khalil
Tamer Morsi is one of the biggest producers that presents work involving many celebrities. He is also considered on the highest paying wages. He produced work such as series “Outside the World” for actor Sherif Monir and series “The Beach” and many others. ,28 August 1968,Tamer,Egypt,Producer,Mursy
,11 July 1983,Sara,Egypt,Director,Karim
Arwa is a young Egyptian performer who was born in Saudi Arabia. She spent the majority of her life there before returning to Egypt five years ago. Arwa studied marketing at the Naval Academy. She hoped to attain a postgraduate degree but was unable to realize that ambition.,27 September 1979,Arwa,Egypt,Actor,Gouda
, 4 August 1984,Mahmoud,Egypt,Director,Karim 
,NULL,Wasim,Egypt,Cinematographer,Samir
,NULL,Kareem,Egypt,Actor,Qassem Souror
"Mena Massoud is a Canadian actor of Egyptian origin. He was born on September 19, 1992 in Cairo to Egyptian parents and was raised in Ontario, Canada. Massoud currently resides between Toronto and Los Angeles. His career started in 2011 when he participated in the movie (What",17 September 1991,Mena,Canada,Actor,Massoud	
,NULL,Hallah,Egypt,Actor,Zalat
,NULL,محمود,Egypt,Actor,الوحش
"Ramez Muhammad Tawfeek Galal is the son of the great director Tawfeek Galal and the brother of actor Yaasser Galaal. He went to school at Kasr al-Tefl primary school, Orman preparatory school and Giza secondary school. He joined the Higher Institute of Dramatic Arts to fulfill hi",20 April 1973,Ramez,Egypt,Actor,Galal
,NULL,RedaMandor,Egypt,Actor,
,NULL,Noha,Egypt,Actor,Jaber
"Layla Alwi is an Egyptian actress, born to an Egyptian father and a Greek mother. Her full name is Leyla Ahmed E’lwy and her career began when she was still quite young with Abla Fadeela at the Radio broadcast and Mama Samiha on children programming on television. Leyla studied", 4 January 1962,Layla,Egypt,Actor,Olwi
,25 June 1992,Mnaa,Egypt,Actor,Adel
, 4 June 1969,Ehab,Egypt,Actor,Fahmy
"Noha A'bdeen is a young actress who graduated from the Higher Institute of Theatrical Studies, and started her career with the part of Nour in the Fefi Abdu TV series “Touq Nagah” (Lifeline). She then started appearing in other TV shows like “Sedna El Sayed” (Our Master El",25 October 1988,Noha,Egypt,Actor,Abdin
, 8 November 1958,Helmy,Egypt,Actor,Fouda
"Ahmed Zaher graduated from the Faculty of Commerce before receiving a bachelors degree from the Higher Institute for Theatrical Arts. His television works include “Al Ragol al Akhir” (The Last Man), “Amshir,” “Li al ‘Adalah Wojooh Kathira” (Justice Has Many Faces), “Hadeeth al",27 April 1975,Ahmed,Egypt,Actor,Zaher
"Jumana Murad is a prominent Syrian actress. She earned her degree from the University of Damascus, then made her TV debut in 1998 when she began acting on television dramas. She worked on eighteen TV shows for the next decade, until she made her film debut in ""El", 1 April 1973,Jumana,Syria,Actor,Murad
,11 June 1985,Alla,Ukraine,Actor,Kushnir
,NULL,Mustafa,Egypt,Producer,El Ghazouly
,NULL,Yousuf,Egypt,Actor,Ayman
,NULL,محمود,Egypt,Actor,عامر (بازوكا)
,NULL,عمرو,Egypt,Other,راضي
"Born in Alexandria, Sameera Abdul Azeez studied commerce and then graduated from the High Institute of Dramatic Arts. She married the writer Mahfouz Abdul Rahmaan. Started her career in Alexandria Radio (1957) and presented the famous program “Kaal al-faylassouf i.e. The", 5 May 1935,Samira,Egypt,Actor,Abdelaziz
