Duration,Name,Rating,Total_Revenue,discription,genre,release_Date
NULL,The Mall,NULL,Null,NULL,NULL,NULL
85 minutes,An Egyptian Woman,NULL,Null,Wafaa is a social researcher conducting a study about Egyptian women. She records the results of her research using the hidden camera method in order to document people's reactions to different,Documentary, 1 January 2013
18 minutes,Ma Baad Wada' Hagar Al Asas Le Mashroua' Alhamam Bel Kilo 375,NULL,Null,Fear is an instinct lying under the skin. But what if it mutates?,Drama,18 April 2015
170 minutes,El Feel El Azraq,All Ages,Null,"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital,who works in the department of the criminally insane. He finds that his patient is his old friend Sherif Al-Kordy and when he tries to",Mystery,28 July 2014
NULL,All Around Alexandria,NULL,Null,NULL,NULL,NULL
100 minutes,Merati w Zogati,All Ages,Null,"A comedy about (Ramez Galal) who marries a girl interested in women's rights , which makes her too busy and lacks interest in her marital life and that leads him to marry another woman, and he",Comedy,20 April 2014
95 minutes,Zarf Sehhy,All Ages,Null,Sayed is a plumber who is in love with Batta. He finds himself in a lot of ironic situations until his daily life is interrupted by a situation that turns his life upside down. ,Comedy,23 April 2014
95 minutes,Bent min Dar Elsalam,NULL,Null,"Manal is a young girl from Dar Elsalam in Cairo. After graduating from a commercial high school, she gets a job as a maid in an old man's house. But her life turns upside down when the man rapes",Drama,21 May 2014
12 minutes,The Ka and Ba,NULL,Null,NULL,NULL,NULL
NULL,أبناء إبليس,NULL,Null,NULL,NULL,NULL
80 minutes,Akher Waraqa,NULL,Null,"After killing an orphan boy called (Karim) with her car, (Mona) suffers a psychological shock that made her imagine that Karim lived and grew up. She writes a novel about him and imagined herself to",NULL, 1 January 2015
88 minutes,Eazazil abn alshaytan,+18,Null,"With an evil sorcery talisman, the devil Azazel is resuscitated to harm an innocent girl. Azazel first requests a sacrifice, which he is granted. So he haunts the innocent girl, driving her to commit",Horror,22 April 2015
100 minutes,Newspaper Talk,All Ages,Null,"A depiction of the problems caused by the rumors that newspapers spread about celebrities, through the story of a television presenter whose show, Newspaper Talk, causes her a lot of problems due to",Drama, 1 January 2014
32 minutes,brivet,NULL,Null,NULL,Short, 2 May 2015
100 minutes,Fazza',All Ages,284065,"After living his whole life in Mazarita, Fazza' finally decides to turn his life around once and for all. He moves to Cairo to experience city life, to which he is unaccustomed, and goes through",Comedy, 8 April 2015
99 minutes,Khareg Al-Khedma,All Ages,Null,"A peculiar relationship ensues between two opposites: Sa'eid who leads a miserable life close to that of the homeless, and Sherine who lives alone and does nothing but watch and reflect.",Drama,25 February 2015
98 minutes,Bard alshatta,NULL,Null,"The journey of Resident doctor (Ramez Amir) in his first night shift at Kasr Eleni hospital, on a cold winter night, and the negatives and positives he encounters because of the lack of resources,",Drama, 1 January 2015
85 minutes,Eldonia Maa'louba,All Ages,Null,The film is set in a parallel reality where The United States are a developing country and Egypt is a major world force. An American man (Bassem Samra) tries in every way possible to immigrate to,Comedy,25 February 2015
110 minutes,Zana'et Settat,+12,17022946,"Ali Munir Al-Jahsh is a wealthy young man who picks 
up women who visit his father's psychiatric clinic.  They both have a bet, where Ali must help a patient recover from his complex with women by",Comedy, 1 April 2015
119 minutes,Tesaaa,+18,Null,"Nine people with mutual history meet in one place, which eventually reveals a lot of dark secrets that were hidden for too long. The host decides to get rid of them as they were fugitives from",Thriller, 8 April 2015
90 minutes,Gomhureyet Imbaba,+18,Null,"The film follows a group of characters living on the edge of society after the 25th of January revolution inside a local neighborhood, including a microbus driver and an opportunist girl.",Drama,10 April 2015
NULL,Planet Shegof,NULL,Null,NULL,NULL,NULL
95 minutes,Tampola,NULL,Null,"The story of the stingy fraud Tambola Al-Far who partners up with his wife Marzouka to defraud whoever they can. As he cooperates with Colonel Farid to cover his crimes, he clashes with chief Ezzat",Comedy, 1 January 2014
75 minutes,Warda,NULL,Null,"A supernatural thriller that follows a girl who falls victim to a demonic possession, which turns her life and the lives of people surrounding her into a nightmare. Her brother tries to help by",Thriller,13 November 2014
77 minutes,Sugar on the side,NULL,Null,"The film takes place in Egypt in 2013, a time when political power was being reshaped and a new authority was rising. Nhamdouh, Hanan and other girls and women from the villages of Southern Giza in",Documentary, 1 January 2014
89 minutes,Suicidal Notions,Unrated,Null,"Three days before her departure to Australia, Marwa's mother passes away, and she discovers her mother's wish to be buried elsewhere. As she struggles to get everything done before she leaves,",Drama,17 November 2016
95 minutes,4 Cotshina,All Ages,Null,"The film follows the story of three boys and a girl whose friendship survived Mai's departure from the country at the age of 5. When she returns, she reunites with her friends and helps them to",Comedy,23 September 2015
92 minutes,El Ott,+18,Null,"When Al-Ott learns that a group of his neighborhood's children was kidnapped as a part of an organ-trafficking scheme, he kills one of Master Fathy's men and rescues the lone survivor. He and",Drama,15 November 2014
110 minutes,Betawqit Elqahera,All Ages,Null,"Three stories take place over the course of a single day in Cairo. Lila, a retired actress, is looking for Sameh, her last co-star. Salma, is dating Wael and is in Wael’s friend’s apartment. Hazem is",Drama,14 January 2015
95 minutes,Ott we Far,All Ages,Null,"Hamada gets involved in a furious conflict with the minister of interior affairs with all the power he has, as he searches for his mother, who does simple daily jobs to provide for her family. Through",Drama,21 January 2015
100 minutes,Regata,All Ages,Null,"Regatta (Amr Saad) is engaged in several illegal activities with businessman Sari (Mahmoud Hamida). Regatta gets a quarter of a million pounds in one operation, which will allow him to travel with his",Drama,21 January 2015
100 minutes,Yom Malosh Lazma,All Ages,Null,"It's the wedding day of Yehia (Mohamed Heneidy) and Maha (Reham Hajjaj), but as soon as the day begins the two of them get into an endless series of difficult situations. To make matters worse,",Comedy,22 January 2015
100 minutes,Khetta Badila,All Ages,Null,"Lawyer Adel Abdel Aziz faces a terrible event that turns his life upside down as a result of his honor and dignity. Accordingly, he decides to adopt a surrogate plan, taking matters into his own hands",Drama, 4 February 2015
120 minutes,Aswar El Amar,All Ages,Null,"After re-gaining her consciousness, Zeina is stupefied to find that she got blind and has lost her memory. She finds herself aboard a boat with Ahmed who gets involved in a serious boat chase with",Romance,24 January 2015
84 minutes,Zay Oud Al-Kabrit,NULL,Null,A comedic tale created by the late actor Hussein Imam to pay tribute to the stars of the Egyptian cinema in its golden age. The main story is based on mixing scenes of 21-star from black and white,Comedy,24 August 2016
100 minutes,Gay Al-Zaman,NULL,Null,"A documentary in which the director Dina Hamza discusses the life of her father, the late poet Mohamed Hamza who wrote songs for famous singers like Abdel Halim Hafez, Shadia, and Warda. Mohamed Hamza",Documentary,26 May 2015
22 minutes,1984,NULL,Null,"Ali communicates with Mona by accident over the phone, and during the events of the revolution they restore their old friendship, and witness the many events that the country is going through.",Short,31 December 2014
90 minutes,Zan,NULL,Null,"Hamad is a Saudi businessman who is desperate to have a son. After five years, his wife Laila fears that he has run out of patience, despite her ardent efforts to give him a child. Out of desperation,",Horror, 1 January 2014
76 minutes,Jesus was here,NULL,Null,NULL,Documentary,NULL
11 minutes,The Tea Cart,NULL,Null,NULL,Short, 1 January 2014
85 minutes,The Dream of a Scene,NULL,Null,"A young director tries to find a girl to star in his short film. But he stipulates that she agree to cut her hair for the part, and the girls who want the role all refuse.",Drama, 4 November 2014
15 minutes,Moment,NULL,Null,NULL,Short, 1 January 2014
15 minutes,Rest In Peace,NULL,Null,NULL,Drama, 1 January 2014
14 minutes,Al-Matour,Adult Supervision,Null,"As three young men try to go to the beach, they end up in a remote area and they try to get a ride out. As their attempts prove unsuccessful, they confront each other.",Adventure, 1 January 2014
NULL,سيد كتاوت,NULL,Null,NULL,NULL,NULL
120 minutes,Soua' Tafahom,NULL,Null,"Omar is trying to reclaim the inheritance of his father from his uncle. He uses his colleague Rauof, who turns out to be a crook and then flees to Lebanon and Omar goes to jail.  Lina the Lebanese",Romance,11 February 2015
110 minutes,Helm Shahrazad,NULL,Null,"A documentary film which locates political expression before, during and after the Egyptian revolution – and also within recent times in Turkey and Lebanon – within a broader historical and cultural ",Documentary, 1 April 2015
94 minutes,Mr. Know It All,NULL,Null,"In a comical-political portrayal of the living condition in Egypt, the story follows a young man who struggles to fulfill his dreams and aspirations in a volatile atmosphere where unemployment and",Comedy, 1 January 2014
NULL,Ana Masry,NULL,Null,A biopic about Egyptian discus throw Olympic champion Omar Elghazaly.,Drama,13 May 2015
95 minutes,Al-Mowaten Bors,All Ages,Null,"The film follows an unemployed man called Bors (Gecko), who comes from one of Cairo's slums, and the hardships he faces while trying to get married to the girl he loves. ",Musical, 1 October 2014
96 minutes,Hamaty Bet-hebbeny,All Ages,Null,"A plastic surgeon gets into trouble because of his extreme passion with women, so he decides to visit a shrink, who eventually discovers that he is in a relationship with her daughter, so she decides",Romance, 2 October 2014
120 minutes,Hadeed,All Ages,Null,"Ammar (Amr Saad) is young artist, who falls in love with wealthy girl Nadine (Dorra), but her rich uncle Mahdy disapproves . They decide to get married without his knowledge. But Mahdy's men",Thriller, 3 October 2014
102 minutes,Omar we Salwa,All Ages,Null,"A romantic comedy about a love story between Omar and Salwa, who tries to fulfill her only dream of becoming a show dancer. But Omar rejects that idea, and tries hard to keep her away from it, but",Comedy, 2 October 2014
83 minutes,Romio El-Sayeda,All Ages,Null,"Ramy, who is known as “Romeo of Sayeda”, lives in Al-Sayeda Zainab. He meets Dr. Hanan, who is trying to uncover a big corruption plot by several authority figures. With Romeo's help, Hanan finds",Thriller, 1 April 2014
50 minutes,HIV,NULL,Null,"The film follows the story of Youssef, an HIV patient, from when he started his journey with disease, to how he faced his family and the society at large after he got his diagnosis, to his",Drama, 1 January 2014
165 minutes,El Gezira 2,All Ages,Null,"Mansour Al-Hefni (Ahmad al-Saqqa) escapes from prison and reunites with his brother Fadl and his son Ali, and return to the island to recover what they have lost.  Mansour must stand against his old",Crime, 1 October 2014
85 minutes,Wahed Sa'idy,All Ages,Null,A man from Upper Egypt (Mohamed Ramadan) leaves his hometown and goes to Cairo in search for a living. He manages to get a job as a security guard at a hotel. When he accidentally knows that a guest,Comedy, 2 October 2014
50 minutes,Ababeel,Adult Supervision,Null,A documentary that tells the truth about the airstrike waged by former president Hosni Mubarak in the October War of 1973. ,History,13 October 2014
25 minutes,Om Amira,NULL,Null,"The film follows a woman called Halima Mohamed Ahmed, known as “Om Amira” (Amira's Mother), who lives in a Cairo outskirt with her daughter, who suffers from heart disease, and her impeded,",Short,15 June 2014
90 minutes,The Best is Yet to Come,NULL,Null,A TV presenter discusses several issues concerning the Arab region and Arab identity through the representation of a Kuwaiti student who travels to Egypt to resume his studies and crosses paths with,Comedy,11 September 2014
100 minutes,El Nabatshy,All Ages,Null,"Saad is a master of ceremonies who introduces singers and dance numbers on stage at local weddings. He aspires to gain wealth to escape his poor neighborhood and marry the girl he loves, but many",Drama, 2 October 2014
92 minutes,E'dam Baree',NULL,Null,The film focuses on the life of two brothers. One of them worked in the police force and the other is a Doctor specializing in medical analysis which leads him to the discovery of carcinogenic,Crime, 4 October 2014
105 minutes,El Harb El A'lameya El Talta,All Ages,30675474,"At the wax Museum, the statues of the most famous figures of history come to life after 5 pm until 5 am. Shortly before they wake up, Khamis enters the building, and he's chased by the living",Comedy,28 July 2014
80 minutes,Gawaza Meery,All Ages,Null,"The film follows a young girl “Yasmin Abdel Aziz” who is searching for a husband, due to her constant loneliness and feelings of negligence by men. After a lot of attempts she meets two men who fall",Comedy,28 July 2014
90 minutes,Antar & Beesa,All Ages,Null,"Bisa is an unlucky girl who works as a singer at a nightclub. Her sweetheart, Antar, is a thief who was just released from prison with his two friends. As the three of them kidnap a little girl in",Comedy,28 July 2014
97 minutes,Wesh Sogoon,All Ages,Null,"The film follows a man in jail who gets sentenced to death by hanging for committing rape, and the details of his life inside the jail and his relationships with his mates. ",Thriller, 3 October 2014
102 minutes,Soni'a Fi Misr,All Ages,10259747,"Through a series of exchanges between friends and relatives, this film explores the artificial relationships that people form through social media sites like Facebook and how these connections",Comedy,28 July 2014
NULL,Men Awel Elsatr,NULL,Null,NULL,Drama,NULL
94 minutes,A Guest from heaven,NULL,Null,NULL,Religious,NULL
148 minutes,wilderness eagle,NULL,Null,NULL,Religious,NULL
NULL,إن عاش,NULL,Null,NULL,NULL,NULL
NULL,ALAZHAR,NULL,Null,NULL,NULL,NULL
NULL,عدو البشر,NULL,Null,NULL,NULL,NULL
23 minutes,Alkahf,All Ages,Null,NULL,Documentary,NULL
NULL,Crop,NULL,Null,NULL,Documentary,NULL
85 minutes,Why Are You Silent,NULL,Null,"A portrayal of the lives of Muslims and Christians in Egypt, and the attempts of some infamous minorities to stir discord between them and ignite sectarian strife.",Drama,28 September 2013
77 minutes,مترو,All Ages,Null,A thriller about a young woman (Haim Gebai) who finds herself navigating a complex world in which someone is trying to kill her. She does everything she can to save herself and understand the,Drama,14 May 2014
90 minutes,Mamluks,NULL,Null,"The film depicts the lives of a group of young people who sell themselves into modern-slavery, through the portrayal of a young man who leaves the countryside for the city where he does away with his",Drama,13 February 2013
77 minutes,Cairo Drive,NULL,Null,"Cairo Drive is an intimate documentary that explores the life of one of the world’s most populated cities—from its streets. Shot in 2009-2012 (before and during the Egyptian revolution, and ending",Drama, 8 January 2015
90 minutes,Abl Elrabiea',NULL,Null,"Before Spring is a film that tackles the three months prior to the Egyptian Revolution of 2011, with special emphasis on the reasons and motives that sparked it as well as the general state of affairs",NULL, 1 January 2013
70 minutes,Bayt al toot,NULL,Null,"Sara Ishaq is Yemeni-Scottish and spent her childhood in Yemen. At the onset of puberty, she agreed with her father that she should go live with her mother in Scotland. Ten years later, in 2011, she",Biography, 9 December 2013
75 minutes,31/12,All Ages,Null,This action-thriller revolves around a police officer (Edward) who begins to investigate a businessman as a suspect in a murder case when he discovers that another police officer is somehow tied up in,Thriller,12 June 2013
90 minutes,El Brinseesa,All Ages,Null,"After a poor girl is forcibly married off by her older brother, she has an affair with a guy who promises to marry her if she gets a divorce, only to abandon her afterward. Forced to work as a",Drama, 7 August 2013
98 minutes,Hayaty Mebahdela,All Ages,Null,"Tattah’s one unlucky mall guard whose life gets even more complicated after running over a cat and getting cursed for it; he also affects Faten,the woman he secretly loves with the same curse, making",Comedy,16 July 2015
56 minutes,Star of David,NULL,Null,"In the wake of an accident that took the lives of her parents, Sarah decides to leave the country. When she returns, she is in for many surprises when the symbol of the star of David keeps appearing",Drama, 5 May 2015
95 minutes,Harah Maznua'a,+12,Null,Haidy is a criminal who gets three young and poor men involved in illegal activities and exploits them. Will she manage to deceive them till the end? Are they going to believe Haidy?,Thriller,12 August 2015
100 minutes,Almorsy Abo Elabaas,+8,Null,"During his search for his identity, a guy who thinks that he is a descendant of the renowned pious man Al-Mursi Abu Al-Abbas, discovers that he is originally from Morocco. As he travels to learn about",Thriller, 7 September 2015
78 minutes,Hijab,NULL,Null,NULL,History,17 December 2015
91 minutes,Khanet Al Yak,All Ages,Null,"Five young fellows wake up to find themselves in a deserted place. Failing to remember who they are or who/what got them there in the first place, they embark on a long journey to recapture memories",Thriller,23 December 2015
101 minutes,Oshan 14,+12,Null,"As Ta’oun plots to rob the famous singer Ahlam, he recruits his fiancée and her brother to accompany him to Sharm El-Sheikh to carry out the heist. But he is unaware that he is being followed by the",Comedy,20 January 2016
90 minutes,Neaama,+18,Null,"Na'ma is a beautiful girl who lives in a local neighborhood. As some of her dangerous neighbors start to pursue her, her brother is forced to step in to protect her from their harassment.",NULL,16 March 2016
92 minutes,El Haram El Rabea,NULL,Null,"This suspense-thriller looks into the hidden world of online hacking through several methods, such as social media, different forums, and so on. Yusuf, a brilliant engineering student, is behind a lot",Action, 3 February 2016
82 minutes,Shaaket Dabows,NULL,Null,"After a long stay in Kuwait, (Saif) decides to return to Egypt to settle and start establishing a chain of pharmacies. In the midst of his work, he enters a love relationship but leads to an",Drama, 6 January 2016
90 minutes,Asad Sinaa,NULL,Null,"The 1973 October war saw many tales of heroism, including that of Sayed Zakareya Khalil, an Egyptian paratrooper whose battalion was decimated during the war. Despite the setback, he still managed to",War,27 January 2016
NULL,Rouge,NULL,69010,"The story follows the poor girl Wafaa who works in a beauty center, and has an affair with the husband of the center's owner. When she gets pregnant by him, she decides to commit suicide, but the",Drama, 2 November 2016
107 minutes,Konghor Hobena,All Ages,Null,A young man who works for a freight forwarding agency finds himself responsible for a shipment of real live Kangaroos instead of small statues of Kangaroos. He has to look after the animals himself,Comedy,20 April 2016
110 minutes,Elly Ekhtasho Mato,+16,Null,"The film tells the story of seven women who live in the same boarding house and have a deep bond with one another. They discuss their personal issues, looking for love and laughter in a dark society",Drama,20 April 2016
85 minutes,Rahaf,NULL,Null,"On the way to Hurghada for their honeymoon, a couple's car runs out of fuel which forces them to go to the first villa they encounter to look for help, only for the villa's guard to put them",Action, 2 February 2017
120 minutes,Hepta: El Mohadra El Akhyra,All Ages,Null,The renowned psychologist Dr. Shukry Mokhtar dedicates his final lecture to answering the most important question ever ,Romance,20 April 2016
98 minutes,Hassan Wa Bo'loz,All Ages,11530343,"The story of two conjoined brothers (Ali Rabea and Karim Fahmy) who are exposed to funny situations, along with their cousin (Muhammad Osama) who got involved in their problems.",Comedy,14 April 2016
114 minutes,Abo Shanab,+12,Null,The film tells the story of a female police officer who faces sexual harassment and decides to fight this widespread phenomenon. She is assigned to arrest sexual harassers in public places.,Comedy, 5 July 2016
107 minutes,Asal Abyad,All Ages,Null,"A son of a wealthy family is kidnapped by a gang, and they get into plenty of ironic situations in order to get him back.",Comedy, 5 July 2016
76 minutes,Satow Mosalath,+12,1358908,A comedy about a young man called Ali El-Marakby who finds one of his grandfathers' will from ancient Egypt.,Comedy,27 August 2016
107 minutes,Gahim Fe El Hend,All Ages,Null,"A Special Forces team is assembled to retrieve the Egyptian ambassador after he was kidnapped in India. It is then discovered that the team isn't from the Special Forces, but rather a musical band.",Comedy, 5 July 2016
91 minutes,El-Qerd Beytkalem,+16,Null,"Two magician brothers, Taha and Rashad El-Shenawy, prepare to pull off a magic trick to free their wrongfully imprisoned father.",Thriller,25 January 2017
82 minutes,We're Not Heading Into Trouble,+16,232825,"A group of careless, aimless youth can only live their lives recklessly. They spend their time at nightclubs with women, until an incident forces them to change the way they think. But what is this",Drama,12 April 2017
93 minutes,Phobia,NULL,Null,A comedic tale about two people who suffer from phobias and the paradoxes they encounter in a creative dramatic context.,Comedy,26 April 2017
120 minutes,El-Asleyeen,+12,8676740,"Samir Alaiwa, a bank employee who is suddenly fired after a decision to cut labor. He tries to look for a new job, then he finds a cell phone at his door step that contains photos and videos from his",Drama,25 June 2017
85 minutes,Shantet Hamza,+12,Null,A professional con man (Hamada Hilal) falls in love with a powerful woman who used to work for an infamous con gang.,Comedy,31 August 2017
103 minutes,Horob Edterary,+12,Null,"When the businessman Yahya Zakaria (Mohamed Farrag) is killed, four people are ",Action,25 June 2017
90 minutes,Photocopy,NULL,Null,"Mahmoud is man in his late 50s, who owns a photocopying store.  When he comes across a topic about dinosaurs, he becomes obsessed with searching for the causes of its extinction, which leads him to",Drama,20 December 2017
100 minutes,Bashtery Ragel,+16,5272567,"Shams Nour El Din is an Egyptian bank employee who dreams of becoming a mother and having her own baby, but the problem is that she refuses the idea of marriage.  She finds a solution to her dilemma",Romance,14 February 2017
122 minutes,Bank El Hazz,+16,Null,"After Mohamed Saleh (Mohamed Mamdouh) gets fired  because of his ongoing abuses against customers, he plots with his colleague Amr (Akram Hosni), and Zaro (Mohamed Tharwat) their partner in the",Comedy, 5 April 2017
90 minutes,Kitabah Ala Al-Talj,NULL,Null,"The film discusses different ideologies in terms of religion, geography and intellect reflected as well in the current rifts between different parts of the Arab world. A group of individuals strive to",Drama,17 February 2016
100 minutes,Jawab E'teqal,+16,16409775,"Khalid El-Dajwi joins a terrorist group, whose brother  Ahmad also joins despite his objection. When Ahmad is killed by a member of the group, he seeks revenge against them, while an arrest warrant is",Action,25 June 2017
19 minutes,Oil: The Three Appearances,NULL,Null,NULL,Short,NULL
100 minutes,Samaka Wa Sennara,NULL,Null,"Two con-men embark on a comic adventure, where they start out with small conning jobs, and decide to plan for a bigger job to land them more money. However, things don't go as expected.",Comedy, 2 August 2017
90 minutes,Ya Tahadi Ya Taadi,All Ages,Null,"Hany is looking for a good driving instructor for his mother. He receives a recommendation to hire Hend (Ayten Amer), he soon starts falling in love with her , despite his mother's objection to",Comedy,22 February 2017
17 minutes,Piece Of Wood,NULL,Null,NULL,NULL,NULL
85 minutes,Hassan Delivery,NULL,Null,A comedy about a food delivery guy who experiences numerous awkward situations every time he delivers an order.,Comedy, 1 January 2016
90 minutes,30 Youm Fi Ezz,+12,6080798,"Inside a prison, a man decides to help five convicts to escape in order to help him on a 30-day mission. The mission is to retrieve a nightclub that Shafika has inherited from her late husband, and is",Musical, 5 July 2016
71 minutes,Happily Ever After,NULL,Null,"In the midst of the chaos of Egypt’s Arab Spring, filmmaker Nada Riyadh falls in love with Ayman. The initial euphoria makes way for doubt, anxiety and blame – a metaphor for the disappointing",Documentary,NULL
120 minutes,Ex-Cons,NULL,Null,"A bunch of extremely dangerous TODOs, each specializing in a certain weapon or has a special superpower are locked inside high security prisons and are asked to go on a special national mission and",Science Fiction,10 August 2016
73 minutes,Akhdar Yabis,+18,Null,"A week in the life of Iman, who is trying to convince her relative to attend the engagement of her little sister, on behalf of their deceased father. She insists on complying with the traditions that",Drama,25 October 2017
81 minutes,Tahet El-Tarabiza,+12,Null,"After the lawyer Asem Sinjari gets into a train accident, he's transformed into someone else called Hnko, who defends ministers in corruption cases.",Comedy, 7 September 2016
99 minutes,Ashan Khargen,All Ages,Null,"Ramzy is a playboy whose boss tries to wed to his daughter, Laila. When Ramzy and Laila meet, a man they don't know leaves them a bag full of money which sends the real owner of the bag after them.",Comedy, 8 September 2016
NULL,المتمرد,NULL,Null,NULL,NULL,NULL
90 minutes,We Are Egyptian Armenians,Unrated,Null,NULL,Documentary,17 November 2016
119 minutes,Believe,NULL,Null,"Matthew is a business owner in a small town going through tough economic times. As his desperate measures to save his business anger his employees, a chance meeting with a joyful boy settles his",Drama, 2 December 2016
16 minutes,Ext./Day,NULL,Null,NULL,Short,NULL
30 minutes,Titanic: The Arabic Version,NULL,Null,"A satirical version of James Cameron's Titanic that follows the love story between a poor guy from Port Said who takes the ship Titanic on the way to Dubai, and a wealthy girl who is being",Comedy,11 September 2016
101 minutes,Laf We Dawaran,+12,Null,"Nour Kabbani is a tour guide who goes with his family to Sharm el-Sheikh, taking advantage of the company's offer to spend the honeymoon in order to meet an Italian girl named Perla. He finds a",Comedy,11 September 2016
15 minutes,The last journey together,Unrated,Null,NULL,Documentary,18 November 2016
18 minutes,The builders,PG,Null,NULL,Drama,NULL
85 minutes,Egyptian Jeanne D'Arc,PG,Null,"The film tackles the emancipation of women in post-revolution Egypt, highlighting issues of oppression, guilt-tripping, and the religious categorization of women, which are problems encountered by all",Documentary, 8 December 2016
NULL,The Unknown Sweet Potato Seller,NULL,Null,NULL,Animation,NULL
95 minutes,Al-Meshakhsaty 2,NULL,Null,"In the wake of the 25th of January revolution, the authorities ask the Impersonator to take on the identity of the ousted president Mohamed Morsi and a number of Muslim Brotherhood leaders in order to",Comedy,17 February 2016
121 minutes,Haraam El-Gasad,+18,Null,"Hassan and Fatma are a couple who work for a wealthy and powerful farm owner called Mourad. When Hassan's cousin Ali escapes from prison during the 25th of January revolution, Mourad discovers",Crime,29 March 2016
NULL,باركينج,NULL,Null,NULL,NULL,NULL
85 minutes,Manteka Mahzoura- Kasr El Baron,+16,Null,"A filming crew decides to shoot a documentary about the palace of the famous Belgain millionaire, Baron Empain, in Cairo to explore its extraordinary history. Following several attempts to obtain the",Mystery,16 November 2016
91 minutes,Amod Faqrey,NULL,Null,"A man in his thirties goes through a lot of jobs as he attempts to gather enough money to marry his long-time fiancée. His various jobs put him through a lot of awkward, yet hilarious, situations.",Comedy,26 October 2016
114 minutes,Fas Malh We Dakh,All Ages,749082,"A very unlucky guy, Bakry, ends up with an abandoned and cursed theater house, and he must find a way to elevate the curse, as it affects him every time he enters the theater. ",Comedy,20 April 2016
97 minutes,Ali Meaza wa Ibrahim,+16,252394,"Ali is a man in his twenties who grows attached to a goat which earns him ridicule from everyone around him. When his mother forces him to go to a spiritual healer, he meets Ibrahim who suffers from",Fantasy, 1 March 2017
91 minutes,The Chocolate Rascals,NULL,Null,The Chocolate Rascals were looking for an evil genius to assist when they hear about a village where a villain called Sekena lives. Kimo remembers Sekena and that he was once in love with her when,Family, 8 July 2015
80 minutes,Les Petits Chats,NULL,Null,The film follows the history of the Egyptian rock band Les Petits Chants that emerged to the world of music in the 1960s as Wagdi Francis founded it. The film includes interviews with the band members,Documentary,16 October 2015
46 minutes,Drifters,NULL,Null,NULL,Documentary,NULL
80 minutes,Maskh,NULL,Null,"Nasser is a police officer who breaks the law all the time. During one such time, the businessman, Ra'ouf Al-Qattan, starts to apply the law of the jungle to their dealings, sending them into",Thriller, 1 January 2016
NULL,Monsieur Naguib's Wife,NULL,Null,NULL,Short,24 December 2016
NULL,ليلة شتا,NULL,Null,NULL,NULL,NULL
10 minutes,Fathy Doesn't Live here Anymore,Unrated,Null,NULL,Short,21 February 2016
70 minutes,Tofahet Hawa,NULL,Null,"A story of two young women who enjoy a close friendship. One of them is infatuated with the other one's lifestyle, and dreams of having the same life. Eventually, she enters the world she was",Drama,20 July 2016
100 minutes,Kalb Baladi,+12,Null,"A comedy movie about a thief who steals street dogs and sells them. Oddly he learned this profession from a female dog that breastfed him when he was a baby, which led him to acquire special powers.",Comedy, 8 September 2016
120 minutes,Ahwak,All Ages,22491686,"The film tells the story of Dr. Sherif (Tamer Hosny) who works as a plastic surgeon. During his work, he gets to know a young lady whom he falls in love with her.  But when he got introduced to her",Comedy,20 September 2015
145 minutes,Men Dahr Ragel,+12,Null,"An aspiring boxer Adham is thriving to become a successful professional.  He falls in love with a girl, Mai, living in a slum, who suffers from her thug brother's possessive personality. Adham and",Romance, 6 January 2016
76 minutes,Al-Katiba 418,All Ages,Null,"A look into the Arab-Israeli conflict from the Six-Day War, through the War of Attrition, to the October War, displaying the heroics of the Egyptian air forces, especially the 418 battalion, in facing",Documentary, 8 October 2015
78 minutes,Hedeya Men El Madei (20 September),All Ages,Null,"On his 75th birthday, Dr. Mokhtar Younis receives a wondrous present from his young daughter who is also a film student; two plane tickets to Rome so he could find his long-lost love, Patricia, to",Drama,30 November 2016
105 minutes,Eyal Herryfa,+12,Null,"Seba'y is an unsuccessful football coach in the Dokki Sports Club. As he tries to marry his sweetheart Osha, his final chance to prove himself to her father lies in coaching the women's",Comedy,23 September 2015
63 minutes,Fi Youm,NULL,Null,"A story about the lives of six people that show how they lost hope, dignity and their sense of security as they struggle for a good life, exploring the hurdles standing in their way. ",Drama,13 November 2015
110 minutes,The Fourth Generation,All Ages,Null,"Four friends find themselves in an unexpected dilemma after one of them falls for their principal's daughter. They find themselves on the run from a drug gang, a terrorist organization, and the",Comedy,23 September 2015
110 minutes,Paparazzi,NULL,Null,"When an Egyptian young woman travels to Lebanon, she faces lots of trouble throughout her journey, until a Lebanese man offers help. Their relationship develops into a deeper connection.",Drama,16 December 2015
122 minutes,Nawara,Unrated,Null,"Nawwara, a poor house maid working in the house of one of Egypt’s ministers, and is engaged to Ali, a poor guy from the slums. When January 25th revolution erupts, her life, work, and love story take",Drama,23 March 2016
133 minutes,Kudurat Gheir Adiya,+12,Null,"After his scientific research on the extraordinary abilities of human beings, Yehia takes a break and goes to stay at a motel by the sea where he falls with the owner and her charismatic daughter. As",Drama, 9 December 2015
72 minutes,Bra Fi El Sharee,NULL,Null,"Working-class suburb Helwan, where ten factory workers enrol in an acting workshop and re-enact lived-through cases of injustice in the workplace, police violence, fabricated lawsuits and countless",Drama,26 March 2017
97 minutes,Selah Al-Talamiz,NULL,Null,"A comedic exploration of the issue of education in our schools and the various situations that both students and teachers find themselves in, through the story of Usha and his little friends and what",Comedy,27 January 2016
